sample,train_score,val_score,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,y_mean,y_std,model_intercept
0,0.5143137480958312,0.25667295521889144,-0.3226760768726187,-0.16027487909751206,-0.3544833704875282,-0.5432214830671502,0.7986175243799026,0.22557093045072593,-1.196158441598721,-0.40842900258353093,-0.8476023710264305,-1.163685077836931,0.13162276229380518,0.1623243346124007,0.0,-0.44998968068442685,1.1482061492372966,-0.08175163513256484,-0.6947689031576488,-0.1377685024484102,0.22855500898296158,29.317766051011436,0.9357453947461879,0.0
1,0.42470990690290233,0.5184694207891307,-0.2266628037952375,-0.466973139709973,-0.5183896079425215,-0.2619368916429238,1.1378906300954414,0.39954917168157444,-0.8270183249968812,-0.09383146524626693,-0.8311848431691093,-1.3607187616132594,0.13616056588980177,0.3070764565496583,0.0,-0.07093867464922278,0.7696966196613346,-0.018995114503056826,-0.4084986511431278,-0.05758082660180406,-0.46407223949100085,29.251079315193117,0.8453061598754081,0.0
2,0.5069239621707333,0.24814858133110818,-0.4705306365251745,0.09197474562638938,-0.6489682589840111,-0.21674794205863404,1.0006107891226605,0.8388817215789551,-0.7373158202558818,-0.6835259315067314,-0.8208599196236634,-0.44401124401143144,0.21866626010739562,0.7644362832197698,0.0,-0.9129536541918185,1.2088575887611215,-0.062857549544491,-0.6877069584701431,0.06788012378746384,-0.2816103399183394,29.344207268687512,0.9100150825417318,0.0
3,0.4879067583571164,0.36678303993916317,-0.24669397774005697,0.04114139284212258,-0.15816980586501367,0.03705882184334808,1.0904990738582925,0.10846723639080488,-0.4285472643023749,-0.3760143727576647,-0.6215439770569617,-1.2542966172517385,0.14218541515371652,0.5547434791492163,0.0,-1.003047965360883,0.5591287481638892,-0.0724897984900312,-1.1517243121220528,-0.2559443733422006,-0.03942178047161225,29.18457681334832,0.8617953048908351,0.0
4,0.4785411297408322,0.4309755827777694,-0.8006991250602731,0.21186381100615712,-0.406605548897619,0.0019522353787283563,1.1859546387404516,0.5698400986588997,-0.2894417337399402,-0.4868930464544733,-1.3256622549609496,-0.46816883024196787,0.1427390618433873,-0.0046240281076706975,0.0,-0.5130303251119905,1.289607004237796,-0.04845135941125061,-0.9403483177560509,0.07943847436823206,-0.41155362635761233,29.298018088871416,0.8242867747634354,0.0
5,0.46739527202228237,0.4215424460003634,-0.45563839594826905,-0.023794854151171566,-0.4067409600381218,-0.5410991660381688,1.0802150231373795,0.7470121167350255,-0.7692906225162953,-0.31557305706281985,-0.6134689035702255,0.0,0.35665297196714335,0.17911508926423758,0.0,-0.33200139875318135,1.885323770192408,-0.10122520801433411,-0.61291131128122,0.13592995605192681,-0.2935385008160141,29.29569865738439,0.8475179369385886,0.0
6,0.5785377164002644,0.24719530441126336,0.005519793633460614,0.09460346455753478,-0.16413388895855727,-0.10837721143343022,1.1012608606106484,0.2878691714989956,-0.6238972407824513,-0.3480053827847372,-0.42702303441666867,-1.0276306565620763,0.12559171624451704,0.30202969884218217,0.0,-0.6904363059359567,0.8770799448746245,-0.048538301529287266,-1.368616162732616,0.020905558173897713,-0.05922621585610253,29.26766329346826,0.8848548676809673,0.0
7,0.3756107204987379,0.5723807028578574,-0.3539586072011573,-0.48980130789717136,0.021269383078645183,-0.4584851649630767,0.8364243381725415,0.28491278231470896,-0.5949467072748703,-0.10338734492088819,-1.3039216286754287,-1.0950230999331492,0.031698190954739296,0.21579836787878912,0.0,-0.21579322747252516,1.1791144397467634,-0.2010016317077798,-0.6734530140602739,0.11128660436058138,-0.002395735932264836,29.39389128989362,0.837176472214145,0.0
8,0.4937033358037074,0.2748413072590832,-0.12643286769389003,-0.2839884651847507,-1.0620546595481881,-0.5816436284986104,0.8652571045439236,1.0963782147715233,-0.4699186519851305,-0.1234629720958783,-0.9002792214652098,-1.4968062086994989,-0.1990176335741097,-0.07437270063590497,0.0,0.15475189621708985,0.8337697058634065,0.017502589113059394,-0.45369293890870216,0.12087468783406627,0.04966057673328086,29.26346172225939,0.8391968220664737,0.0
9,0.540030360119168,0.2856474684460476,-0.6285525460465439,0.0789046072198907,-0.17105057809887844,-0.0784491476776455,1.2037161297846266,0.5951351601244558,-0.5346351445333225,-0.5300882750246627,-1.3041979300440665,-0.6008726732789194,0.014054875437797468,0.06663020105786772,0.0,-0.6061952265736728,1.4050782295684239,-0.12680891035426564,-1.0081280188253554,0.23305540740767935,-0.42958453028377175,29.21243549615092,0.8527830790749207,0.0
10,0.505579118583565,0.3570655763350037,-0.10278501068748253,-0.044735092231343546,-0.22950922843208357,0.04300342820256843,1.1032563826386947,0.48906924466413065,-0.2148215618018119,-0.4625963382369816,-1.1081972340607311,-0.6758036250759675,0.30197647865446986,0.32580072124982945,0.0,-0.7939863850340609,0.9434916205126147,-0.11615673312786548,-1.170420216275346,-0.017521315816614355,-0.2649066553682918,29.32686335403727,0.8719688081840389,0.0
11,0.42070167416234394,0.4264636858451324,-0.6603477777056715,-0.35866304118383374,-0.9326415315579984,-0.43152642788609974,0.7727402645683232,0.2653446100202483,-0.3863691838540755,-0.45597409520851867,-0.7741295107718908,-1.5684469076848757,0.24775692810550487,-0.07881565774847021,0.0,0.26016404193459464,1.799762080003344,-0.07822491931444772,-0.5345964112233401,0.2723406735746387,0.061372383963528884,29.26509411484394,0.7673541614791556,0.0
12,0.5685924656691981,0.264579995294297,-0.5357187233907706,0.05043795611805344,-0.6664114762761647,-0.27860177102084466,1.2644626390267117,0.8552964827569114,-0.7483244515337539,-0.4481884786020967,-0.8949376345864891,-0.3687241744041077,0.032747359756796796,0.34329030383866105,0.0,-0.9360985202230163,1.376873856516846,0.04615258109143358,-0.49323393017393313,0.24387995408228255,-0.5171323145723911,29.180140734949173,0.8831885135592302,0.0
13,0.5029602617888602,0.3379474818151442,-0.41469982100861386,-0.4975416794001472,-0.4639054837229776,-0.6147514361264228,1.1372513989606585,0.7647149675813453,-1.2122180286729003,-0.14461032181411917,-0.9539271278195862,-1.3619510924411036,0.031458335551821134,0.1477897153223992,0.0,-0.3143137580828122,1.006040333865359,-0.06200231240936635,-0.2897524712818468,0.04221624561954939,-0.30137918093273786,29.342042428927254,0.8854706388458166,0.0
14,0.4579782618443683,0.27192850873826857,-0.33815151013916483,-0.03745530327013626,-0.7146937986062857,0.08889813850617401,1.3909725480927886,1.5714663402470042,-0.09563836588321871,0.012802665643255065,-0.3068964725889654,0.0,0.11370231288333625,-0.15050112200008875,0.0,-0.17721598954444445,0.9248889083189156,-0.06341335725961297,-0.6811722997343131,0.2655708632127145,-0.9750614860213821,29.377497603068072,0.7570334117616588,0.0
15,0.47304168287263604,0.38357699366347,-0.3769964434245489,0.048063603846358424,-0.040160519338583014,-0.18490086728741378,1.1224780180689566,0.3091249903715636,-0.729674204620194,-0.6394272081504585,-1.584009009166806,-0.3384652122341436,0.04473747843865453,0.19067340918707426,0.0,-0.6375370920879367,1.0936256981176042,-0.12572183470992698,-0.8052582492522722,0.21766173391494076,-0.5110769289992776,29.38137472283814,0.8246079688571268,0.0
16,0.5149534615731653,0.39703989058893663,-0.15259687381781925,-0.12191358902717697,0.16709623069431176,0.2439508390407186,1.262563863788247,-0.04954111561045027,-0.4806344719712983,-0.8064428197600298,-1.162349568902746,-0.9255022943780947,0.23864361972678833,-0.16768572690953581,0.0,-0.608439091331689,1.0894447018302458,-0.05475606403283887,-1.4552218942577189,0.29906136613251183,-0.7174086676055437,29.352673692427793,0.7859399930034181,0.0
17,0.42432481359487007,0.4967989061871039,0.016323796001408472,-0.12330513873371442,-0.3925024313520807,-0.3313499318918706,0.8595925647811443,0.13133954459875283,-0.5529706203584165,-0.2547769383042429,-0.9019899100140536,-1.1015613294923028,-0.11597079285721874,0.15020697806633038,0.0,0.11637035393567775,1.075888579990586,-0.1608223656589558,-0.8755192809644752,0.18193321958896588,0.09742893384285406,29.26148695054945,0.8382932034926798,0.0
18,0.5136806128604317,0.2882769684336768,0.08992102715352236,-0.184997228881597,-0.7138837449977052,-0.6493153015320223,0.7463601736796036,0.9796333466084236,-0.9095759924491812,-0.9168456208445748,-1.641860586319187,-1.3122818417852395,-0.08261987073641747,0.3091616705685824,0.0,-0.9969233648548058,1.6085242563775264,-0.04940896265984104,-0.42536060612238136,0.1480328726096871,0.0539029793020693,29.268167616247016,0.8971945319407914,0.0
19,0.510530270826632,0.36276368291386174,-0.40368506281240474,-0.09051375433874888,0.29690475263843236,0.013387088454766794,1.313149796878859,0.24207272753457296,-0.6511110604684691,-0.5940075425881093,-0.6824590885644731,-0.7288631549574838,0.21837059949653004,0.3612664016698722,0.0,-0.6627502199414602,0.7651139473076747,-0.09417910347125562,-0.9719006028059572,0.10786820449418956,-0.7014398260337461,29.329071434595598,0.8505220715866973,0.0
20,0.4910987110161378,0.37727081314664956,-0.05852895871686923,-0.08119748187349515,-0.07975250033843612,-0.311799498555595,1.1762833215135746,0.4658400898756409,0.011331105044245034,-0.06522006748710871,-0.6475952252659002,-0.890745496261078,-0.10208676462928433,0.0650878370700274,0.0,-0.36737183241950416,0.9402584426657801,-0.16813457265433276,-1.0358204442768748,0.10662220014254255,-0.24641561983696283,29.395795677799608,0.8120192429882948,0.0
21,0.4932257561575065,0.4097810901267338,-0.5502066284013334,0.08672813020486701,-0.2333537005001374,-0.11991923517984017,1.0408436670689902,0.25523229037956824,-0.4710419189250863,-0.4966537515166459,-0.9849641845114083,-0.34559930769656,0.5080186411126438,0.4289787904758409,0.0,-0.8769148590709352,1.3837271356255727,-0.15007372722757328,-1.0395677989181011,0.07007705474409337,-0.1609242459070038,29.314590402326708,0.8134495631190369,0.0
22,0.5590961087900581,-0.17048221124984742,-0.48223244531409715,-0.5649042384172195,-0.3497068324324803,-0.3850917137285882,0.9764776718700803,0.29583626039402433,-1.006212187606202,-0.66735969376596,-0.9494886944644932,-0.8526203855391389,0.22192453003041065,0.34138255425554476,0.0,-0.4947817518037259,1.819123498086992,-0.0796508316953433,-0.8363905398196368,0.13599525262082396,-0.2030773799579505,29.32639162878463,0.9306002098911963,0.0
23,0.4322181537670692,0.5497416687917834,-0.31859790403973387,-0.08507808114808017,-0.6120138133191453,-0.29156259586896854,0.8731520492965175,0.6409024186710093,-0.8137225584651572,-0.5092393517558713,-1.1713829297032705,-0.9351875694176638,0.02986069960863071,0.371470815702124,0.0,-0.7850123854564165,1.2835361156619571,-0.13954331501622394,-0.5023794462594332,0.09473896119015562,-0.051296402568916565,29.25365126676602,0.8574223891790614,0.0
24,0.5230807271975845,0.3359463437126591,0.006266851432768011,-0.24564043369364372,-0.5164938772575263,-0.2409894859063036,0.9650702386883931,0.11769034787493676,-0.7225968904628431,-0.7395086488110216,-0.9782363074590394,-0.8795916691007932,-0.012260221201242764,0.08874566143287999,0.0,-0.9344673735120433,0.7140813657385173,-0.04985492807591491,-0.7941111422085547,0.07694957388022529,-0.10447955036398539,29.292011582353943,0.8775454828496553,0.0
25,0.5133004458719401,0.3464798422063352,-0.4959167031141447,-0.39120557750121027,-0.5400686351769998,-0.8178820857056902,1.022116760367356,0.7514501772679425,-0.9208894872848542,-0.023750680045053818,-0.8731804792224748,-0.6966662838171747,0.3362421809349756,0.0505084275163084,0.0,-0.06352661141868256,1.7127901494695086,-0.09545434293446789,-0.3080698889504586,0.03188344873397161,-0.04077534348202173,29.302096029547553,0.8887509998918689,0.0
26,0.4205921582459168,0.5059907081983227,-0.237335506413173,-0.2837220921350744,-0.33782981778345955,-0.49299888158708866,0.9413140668915829,0.5530715809176932,-0.9001023710818046,-0.2542646965681097,-1.0050912615994265,0.0,0.1773646171925224,0.04273464585282772,0.0,-0.18481785623744668,0.6459628261585424,-0.19120156931683047,-0.538450553208284,0.0016397023010992317,-0.07469062111784024,29.375039055719494,0.8202480791425245,0.0
27,0.49251857029823987,0.39124962095138494,-0.38948332740185115,0.042530927107313786,-0.2903809543703698,-0.3102760195815316,1.0009959985906647,0.36962471675617387,-0.6223804572207415,-0.4838469510966594,-1.364440173534652,-0.7614846366602385,0.11572778656146616,0.21932468247089298,0.0,-0.6640737417611999,1.7896070100239125,-0.10322487826290887,-0.8127421336037957,0.11486054028398142,-0.22761003933961046,29.313486577720624,0.9173310738267159,0.0
28,0.5172123616379736,0.3647219510535693,-0.15370333245796364,0.1406504541930065,-0.18501313865389826,-0.145672307594465,1.0575507606384773,0.5150414812422456,-0.41846984430205336,-0.39142137758943124,-0.9584228579456233,-0.9365268755042775,-0.070086278902057,0.19551554040761188,0.0,-0.6256408398105063,1.3987052536775486,-0.022473286426206694,-1.2815362266024486,0.17148563977962308,-0.18219130354859422,29.30412461257252,0.8513396156127222,0.0
29,0.5006995705174482,0.33010208974039446,0.26210798320417705,-0.35365013542975293,0.25126550423651256,-0.08839458532010781,0.9446039204600896,0.9347291928085194,-0.7197510371742901,-0.31859808384781085,-0.9389935475281878,-1.288817987464775,0.01958620010311278,0.4469557697558232,0.0,-0.5516550976276692,0.9905825041539146,-0.07178100427411241,-1.2686589757616606,0.10606298576489409,-0.08731669492672896,29.303972531293464,0.9029491384748379,0.0
30,0.513400960552235,0.3782189715549368,-0.6783849040553442,0.12003459953211626,0.009227896683276074,0.17999816703498273,1.0276667042077605,0.6727482211112278,-0.02074340155649681,-0.37036973658525546,-1.282011346762947,-0.9486665253801931,0.006510686378165964,0.4395283723306849,0.0,-0.5400134390192503,1.1866725200688724,-0.10728622700682251,-1.6227214350399959,0.13509905292074137,-0.04656662054853692,29.329542528538322,0.8463136531808433,0.0
31,0.4706065192464258,0.4314055562272414,-0.10005991323377583,0.25413317178516054,-0.6468736311611171,-0.28066731189747063,1.0844627710260832,0.07445438966971005,-0.8761613754983453,-0.6981832073557767,-0.9311092183517863,-0.6865540830725608,0.3189078025029427,0.5204437540432777,0.0,-1.0838653628894694,1.052866684913785,-0.08852285268631677,-0.5182190616683956,0.032962723435711785,-0.19310512297861981,29.2175355016033,0.787380058996816,0.0
32,0.45399507105009407,0.257696025009171,-0.34622588053130676,0.06599965916351294,-0.7690199679695245,-0.5807545006046011,1.0962860437844815,0.960064132444026,-0.4197912154486139,-0.2307903048291079,-0.11198137233268937,-1.1101372298080852,-0.20133190700335732,-0.14778813908830304,0.0,0.08223020531102905,1.1843110866668056,-0.1347551556873666,-0.4883577585771862,0.07032719828740056,-0.34674653610667794,29.4169734904271,0.8307119225497578,0.0
33,0.5319207989534522,0.16233241906617413,-0.04236025283129556,0.21140423136877456,-0.3424673972024049,-0.01704211216106706,1.1996079291209696,-0.47411943536463463,-0.44133181783028047,-0.40287952593889126,-0.7273541304444238,-0.6965803354347119,0.1541542493120082,0.6912985919198752,0.0,-0.7879207679764323,0.7182794007296246,-0.027169646168248775,-1.0871773284950708,0.07413121756551688,-0.2587990337261882,29.166282243155205,0.8867586389790036,0.0
