iteration,ridge_r2,gp_r2,total_r2,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,intercept,matern const,matern_ls,dp const,dot_prod_sigma,noise
0,0.46735808508525034,0.8331927605605741,0.911151710792139,-0.1986041830231737,-0.17711296732154225,-0.37137951942755104,-0.23296973385488626,1.0628949790886748,0.21840005838823306,-0.6775829435429157,-0.2010102969964874,-0.7403359595767188,-0.3924883452953941,0.121445960693829,0.05131154597414264,0.0,-0.595180020251522,0.8560387106095656,-0.20527574052532513,-0.8356079102904667,0.030827389474656543,-0.15648328556474433,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
1,0.44894701502009615,0.8430637639615886,0.9135216147709608,-0.06777974746586264,-0.2707894896031043,-0.29109664502738514,-0.19871486627489054,0.9798034955778274,0.030081727454513738,-0.5814454710793199,-0.17433364587200217,-0.5236125990339351,-0.12272281038097997,0.05698320623868678,-0.039247470792099226,0.0,-0.43070922756441227,0.45230492615342577,-0.1788141718516965,-0.715747331325411,-0.05250479072097558,-0.16811238780150617,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
2,0.4296573444930992,0.8616885745784643,0.9211186398481025,0.0765120545511382,-0.31488649858636375,-0.25785164596086235,-0.13490709093347222,0.9028044798448469,-0.050982820676900964,-0.43515174217821173,-0.14148374235494227,-0.394639183648298,-0.17751037241162748,0.06877962802738262,-0.010404610199800728,0.0,-0.31076970861727515,0.24561213208146368,-0.17072876463720746,-0.6737493149108855,-0.0420247989750809,-0.18793979916680656,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
3,0.4142989300418529,0.8704193880078801,0.9241180060461011,0.03599498696450596,-0.2899472992237227,-0.34941006610826064,-0.137761836255733,0.8310612251558802,0.038310702984534616,-0.42754223787516954,-0.08734490008801575,-0.30478404234851364,-0.12052905795951355,-0.01871016057744586,0.020202902038456448,0.0,-0.37412534446744994,0.12954107479600405,-0.1530170666166153,-0.5534590426654273,-0.07452232269897342,-0.19713379225540612,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
4,0.3995596975351342,0.8662216846314059,0.9196839806285368,-0.02966913206046981,-0.25316764228731325,-0.2749477249541936,-0.14734612675332892,0.7615524064269773,0.11984174326341511,-0.4519377909444936,-0.11498892782333896,-0.39962191692587823,-0.11830724385811223,0.11765101697740997,0.01995495209676514,0.0,-0.29086404250153447,0.1442361929030149,-0.13943518219823414,-0.48885179917965954,-0.0643698332208783,-0.18440841590236184,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
5,0.3862165999822147,0.8771954531245022,0.9246299018740217,-0.053612733499037855,-0.30290569169390735,-0.2525189533434064,-0.07594754171898414,0.7111145444101573,-0.01518895350646222,-0.33812359917370216,-0.21768222169374266,-0.3739634461769778,-0.053237511175752684,0.24811098414655539,-0.024954797859409506,0.0,-0.2582403900850628,0.22960975621247193,-0.14758544521909484,-0.4893338158112785,-0.07315451623845887,-0.16532377249122276,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
6,0.37222330634270495,0.8754868542179155,0.9218345733563957,0.010523130548683398,-0.27869041960795116,-0.21722066926523753,-0.03214729623509412,0.6957744103069874,-0.017724662866577125,-0.3591795213325448,-0.13474308241858418,-0.26729633175718603,-0.13149637493651958,0.14649392010788395,-0.005510497764111773,0.0,-0.2619266913690342,0.2690833065697903,-0.1616652339207393,-0.44517710877114036,-0.05790028935529415,-0.22766215236623752,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
7,0.35774017045537854,0.8830031420808386,0.9248740571493109,0.01755569970755278,-0.2161211969853558,-0.24913665907944096,-0.02868641534411875,0.6476768852462862,0.014969893031060628,-0.3764168560893324,-0.09471376147644764,-0.27286995450405116,-0.09603603040206696,0.16278709669893332,0.032134137315267125,0.0,-0.25199117223751855,0.19994757774953612,-0.14420472126215877,-0.41697878634159613,-0.08927165794149336,-0.2096645457427119,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
8,0.34281529992307247,0.8841812368542167,0.9238878511536728,0.007149618159457656,-0.17740601022757566,-0.28661352522069206,-0.003279523262794134,0.5917406355264597,0.06149052506528599,-0.2965788598513774,-0.09378372744464139,-0.2754453765851693,-0.10112903367952594,0.0682015656891144,0.0021899081222036985,0.0,-0.20137476526315998,0.2783365036807072,-0.14980811823358153,-0.4028189429683362,-0.07406503836544336,-0.16215854768441865,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
9,0.331300751653261,0.8883131960754505,0.9253260976620257,-0.13196965333986335,-0.1682394977714632,-0.21664879840317633,-0.041195119664702094,0.5762228708932529,0.05749319707317348,-0.3081323446255512,-0.13867878976505907,-0.3280303331591415,-0.09477139161822916,0.14181794360403002,-0.024097890564343517,0.0,-0.28220087043736763,0.18583495947289275,-0.14258539098752762,-0.33107293815542704,-0.06211347011366967,-0.18553748181771698,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
