iteration,ridge_r2,gp_r2,total_r2,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,intercept,matern const,matern_ls,dp const,dot_prod_sigma,noise
0,0.46735808508525034,0.869681543215969,0.9305871137464969,-0.1986041830231737,-0.17711296732154225,-0.37137951942755104,-0.23296973385488626,1.0628949790886748,0.21840005838823306,-0.6775829435429157,-0.2010102969964874,-0.7403359595767188,-0.3924883452953941,0.121445960693829,0.05131154597414264,0.0,-0.595180020251522,0.8560387106095656,-0.20527574052532513,-0.8356079102904667,0.030827389474656543,-0.15648328556474433,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.001
1,0.4504672975647819,0.8802648820891721,0.9342106156805087,-0.04013142992288465,-0.2979072512261311,-0.3497059219261898,-0.2176375388870436,1.0044256295894198,0.04101038595041891,-0.4123561904402156,-0.22535443392145516,-0.5384964543438127,-0.1338331872140432,0.08801928691650603,-0.055605386547201416,0.0,-0.3333723851806395,0.45367850752831573,-0.15801586056446482,-0.8149454374216186,-0.06168290796697283,-0.13479482197305395,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.001
2,0.4388762652458519,0.8746001216154841,0.9296621626523159,-0.060343004287343745,-0.26373469160636615,-0.37277095708495434,-0.2164672326404745,0.971233547840546,-0.004173662696027219,-0.42145010364757474,-0.18237393235273427,-0.31967419787253293,-0.0536626330138457,0.1672270127766511,-0.08931405653668116,0.0,-0.2757337390531178,0.1956453828148231,-0.14731803623271572,-0.7618156566527241,-0.0077598456655842895,-0.174527265124416,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.001
3,0.42880901044031483,0.8807628049123747,0.9319154688519525,-0.09640542418286559,-0.37050088069214915,-0.3746913618663387,-0.2609132971330897,0.927688883304294,0.09066212890302773,-0.3259040621840906,-0.11937660354826198,-0.25417844555942015,-0.043374547339200355,0.020793052813494903,-0.06595825813577552,0.0,-0.2588359014186183,0.138891006129438,-0.1893133384031497,-0.6127806721805483,-0.05236368095813091,-0.14696839380779414,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.001
4,0.42011484042010516,0.8759369360929996,0.9280619667236719,0.014119321956775505,-0.30814777538399374,-0.3585406031553427,-0.21368144540826686,0.8560612041234336,0.04159930190801276,-0.2938514676779858,-0.19890383785128693,-0.2563501042598331,-0.21851207258393338,0.04079273801397572,-0.021321107934625643,0.0,-0.23387424453023503,0.2441690080661032,-0.17343900917060195,-0.5776047546410403,-0.025508687839293703,-0.16189299370430393,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.001
5,0.4133493653345043,0.8735830018428083,0.9258453578863084,-0.02253272093550145,-0.35450339818907467,-0.2812010551063625,-0.14788324872599584,0.8224265545057626,0.05423978263460027,-0.36083417187854444,-0.16734737459072105,-0.20300059039905383,-0.0882657481330297,0.10425327952956633,0.03800231522397964,0.0,-0.24557949992499928,0.09677803590081542,-0.18402482291047143,-0.6168570154738546,-0.025262863225601524,-0.1028524990528555,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.001
6,0.39617019206980664,0.8917243322481797,0.9346210194056032,0.041073767820618556,-0.2770244057459022,-0.2315191174505311,-0.13764759805553303,0.7549259473525707,0.024594255401689403,-0.32768049915976244,-0.10017787805072152,-0.2733966869887217,-0.13626850888948333,0.030370769968131213,0.033545268888721995,0.0,-0.19333099235886642,0.12413192496172663,-0.15395904916092576,-0.5752311150139587,-0.042268545033959146,-0.11563293036335676,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.001
7,0.39085330567478604,0.9023597891808852,0.9405304191582506,0.002881645428434483,-0.3087465285608755,-0.24218499363676613,-0.14920986519689206,0.7559237893748446,0.062420657816391056,-0.2832900467905106,-0.09452425325062858,-0.23542881218104159,-0.049115593526746236,0.12145588048244421,0.006035924688987188,0.0,-0.15231158232994016,0.26260292129385915,-0.11611015951069041,-0.530553037033194,-0.012403700747707469,-0.1703932238115572,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.001
8,0.3807129720025393,0.9066331003575034,0.9421873368729068,-0.010432784981223766,-0.3117186671574457,-0.27134837422653085,-0.14954046963232268,0.7206091958868726,0.05159396108558953,-0.2745357725370098,-0.056637300050523996,-0.2377393602848034,-0.0494825546463931,0.032438430516903954,0.012170811517492624,0.0,-0.09251626337451885,0.20151137156782725,-0.12965002329253755,-0.47547167648314564,-0.028019231427876788,-0.14424599197549665,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.001
9,0.36167269458781504,0.9152212923134552,0.9459622395094858,0.0544929978536772,-0.31854547620507506,-0.1908496721454075,-0.18377297979341736,0.6875740965963665,-0.007622970658931504,-0.25620369412230903,-0.048867548100154694,-0.12032334524844916,-0.06097750185245081,0.05417411561072225,-0.027799790047960224,0.0,-0.13374816903007472,0.09890677271100744,-0.12495258043786933,-0.4121805996744802,-0.022910369249878323,-0.11639543504514745,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.001
10,0.34837110427437146,0.8977290258966617,0.9335334842127324,-0.029200805970157572,-0.22591617166642988,-0.18123755707029188,-0.18247295448242618,0.6321657255565687,0.046566833342396946,-0.24484401711532724,-0.007254677212813213,-0.0978849647044056,-0.04255643294015052,0.04053392582007855,-0.030936887200569828,0.0,-0.049098573445499165,0.09822954688495648,-0.12988376392176748,-0.44623110182354736,0.010738209819682577,-0.019568640464577833,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.001
11,0.34301473250564407,0.8951815502803334,0.931366464184864,-0.013455983281782736,-0.1743538049999745,-0.21069333512481422,-0.17706586599708685,0.6609082070870604,0.01589136554029417,-0.16123987550010724,-0.05650833765651402,-0.17254584582267427,-0.028567563623966938,0.0733001893807592,-0.03312069519484418,0.0,-0.08298775620257841,0.07610386245634021,-0.13256554865354542,-0.36978735050987427,-0.032258786435207056,-0.08711310724944157,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.001
12,0.33171245142578987,0.9084082645158386,0.9389849688678457,0.13484180352433278,-0.2017008762966279,-0.2554025463562562,-0.15231375624594679,0.6295593948832573,0.039313363359695166,-0.1451172717625518,-0.06756308386045418,-0.06799123589405873,-0.025208477756176153,-0.03251372243115861,0.015041418508176098,0.0,-0.09810208583311622,0.06767987014319543,-0.12905720811142937,-0.34340086572475154,-0.03442461501264777,-0.10061505967780064,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.001
