iteration,ridge_r2,gp_r2,total_r2,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,intercept,matern const,matern_ls,dp const,dot_prod_sigma,noise
0,0.46735808508525034,0.6021616027087746,0.7880951624203418,-0.1986041830231737,-0.17711296732154225,-0.37137951942755104,-0.23296973385488626,1.0628949790886748,0.21840005838823306,-0.6775829435429157,-0.2010102969964874,-0.7403359595767188,-0.3924883452953941,0.121445960693829,0.05131154597414264,0.0,-0.595180020251522,0.8560387106095656,-0.20527574052532513,-0.8356079102904667,0.030827389474656543,-0.15648328556474433,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
1,0.4449927206055022,0.6360013827237232,0.7979859815325283,-0.14724880509803448,-0.23035443659901075,-0.3292052262948147,-0.09119572312088504,0.9312846788760675,0.15461903605139704,-0.6221102953613186,-0.28010338422673436,-0.6079114696087862,-0.2305845891307684,0.165719904356824,0.00477731856079429,0.0,-0.4769377569571572,0.5451877304548672,-0.1866735359308854,-0.6462018600403641,-0.0740327140402321,-0.23099743575690998,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
2,0.4236173849281919,0.6570883202837281,0.8024592127129809,-0.14704655814447978,-0.23695472026558034,-0.291429942193944,0.025035163861984157,0.835672090020215,0.09932144297319963,-0.6003509058071899,-0.23704447923990354,-0.546473415935031,-0.26520099318617,0.16568890935432315,-0.0008645041370834128,0.0,-0.46634400106556184,0.5819363374759299,-0.18660548961646944,-0.5914346518391013,-0.07889807755059601,-0.28078611323338826,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
3,0.39970921297565154,0.6782396263271138,0.8068911314143293,-0.20338641326027593,-0.23415817065336342,-0.23972128375326765,0.08151797487377342,0.7553353242575149,0.08817813508481591,-0.5297587272507719,-0.25104510580371703,-0.5471972300688258,-0.2529111957351891,0.16909755282227096,0.006940788439676704,0.0,-0.4391861375432988,0.5898166206563065,-0.2051042939589209,-0.5172334665670515,-0.06815324768329553,-0.27323104146636623,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
4,0.38882678222178035,0.6937762430316452,0.8129478201314857,-0.2518449416448526,-0.27145250217231537,-0.3249435440562615,0.10725695876574509,0.7178892705046679,0.09766060827145245,-0.5026919045568061,-0.24795508231904625,-0.4766649828477334,-0.30154814847220146,0.1928008726298835,-0.024677366130977655,0.0,-0.4417459216455386,0.5528282882635059,-0.19940031314427817,-0.45932442713904376,-0.08981021277173587,-0.27097835507758283,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
5,0.37268414213623025,0.7084643089099394,0.8172795800703798,-0.2507850365293052,-0.2321810439362021,-0.2520797669415957,0.14194871523272187,0.6846620062429919,0.08893365245936916,-0.5777637043227388,-0.21929820484446264,-0.4916500210321318,-0.22447472613734334,0.19539550376931047,0.03249506929330781,0.0,-0.4423761669422426,0.4795791479703872,-0.19954493114239594,-0.44045936979578565,-0.07627151891010436,-0.30514883615613003,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
6,0.3574856525092217,0.7071437573463961,0.8119488156591428,-0.2554483785369799,-0.2215770191839411,-0.2781807171305906,0.21206863890910027,0.6363486291684783,0.141655105130583,-0.49818914716479795,-0.2531383398897508,-0.5002069961427226,-0.20778412432666793,0.19474155683860073,-0.012154846720887243,0.0,-0.43456246999820064,0.47495959079303335,-0.21740927820910966,-0.439869423655481,-0.07764715282675201,-0.2756900170952603,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
7,0.33940186208444734,0.7187866338548978,0.8145228106279128,-0.2959563042327709,-0.23019704419688858,-0.273960494803603,0.20716819960669858,0.5717178760088049,0.08425846763716675,-0.5187391868881763,-0.22381236435400495,-0.483639946800717,-0.27176025102401236,0.17811782609862092,0.013711401652792105,0.0,-0.39621217766072764,0.45298502391327505,-0.2072994857232729,-0.4047202875316496,-0.06534144636335627,-0.25424700245619003,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
8,0.3480325530878787,0.7215325082556129,0.8187308067387283,-0.29039402171813933,-0.2391018510657941,-0.25978165044556967,0.2073866641501277,0.5990212027530395,0.10961356070327208,-0.5301361951186857,-0.2128455189300014,-0.46898401275413654,-0.2529061285557155,0.22420647413809403,-0.00535765284605038,0.0,-0.4146382910160293,0.47630646482884,-0.20296509438165838,-0.4353593877121856,-0.0767091293604945,-0.26361089247680064,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
9,0.3469367351225703,0.7172704573491094,0.8157097041733322,-0.2919436798690453,-0.17036577743492523,-0.27227291453654406,0.21617802293963997,0.6239776556512855,0.07314549449049357,-0.4960233816901925,-0.23936491311356578,-0.47683230789832665,-0.17505618344301965,0.19629506414314868,0.02269952928553795,0.0,-0.39054536017453323,0.49946326616074227,-0.19741582705215321,-0.43305198914928056,-0.09595470822603301,-0.3103982857944913,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
10,0.34276613473554385,0.7165479529827805,0.8142404652657231,-0.2807055912292077,-0.21727889090310265,-0.26666379396953893,0.20437291206919359,0.573654194769309,0.0786649349631258,-0.48110669044568305,-0.23313341972297444,-0.4860849739893827,-0.2565075238296217,0.1825093536601728,0.0018761360639716052,0.0,-0.405611095367735,0.5094073333507029,-0.1959409157099009,-0.44568634152661146,-0.07218987586887998,-0.2583224617128062,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
11,0.3339813130655461,0.7167507075544375,0.812095708246305,-0.2856133591428122,-0.21218090268740572,-0.2836981916424216,0.1859522914044051,0.5552961981036445,0.15740810328795443,-0.46728662046732056,-0.26247314882331624,-0.4535067012111489,-0.2264654763900506,0.19258738708843523,0.004703378803200411,0.0,-0.3816756424081249,0.481697313933514,-0.2266460477888743,-0.38108704137055216,-0.08110996612656744,-0.2665168962932665,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
12,0.319266112181277,0.7250483644481278,0.8136255709307272,-0.3056212338397844,-0.15653494680062768,-0.26090943578459386,0.20379276818994835,0.5300992068130572,0.1340100547853275,-0.4634203669924066,-0.2219098685754409,-0.4281807930930015,-0.1958260454053999,0.21149118651941184,0.02705356218397816,0.0,-0.3743380651099705,0.46280837416023446,-0.22573190878966698,-0.37465406802056656,-0.0644851866523359,-0.27812440529224935,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
13,0.34172399752626104,0.7082963778995182,0.8083631943063502,-0.23403078269083868,-0.20406084748461883,-0.22704202427585982,0.22781801470999016,0.5864459745300202,0.10958294895606127,-0.4980541806822672,-0.23609176272839094,-0.5052518281020554,-0.22457314911566095,0.2078852432424276,0.0026750575115585358,0.0,-0.4472996483670099,0.46819661588579725,-0.20706176554072167,-0.44681475612972704,-0.08969702755555904,-0.27407615923529083,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
14,0.3429726972338668,0.700238851358417,0.8033507377441811,-0.33854941861438526,-0.1888744600102862,-0.2565250363224366,0.23286646723287913,0.611926624041349,0.09754300021133866,-0.5348138178385945,-0.2266388980901541,-0.485536571003252,-0.21809006446480342,0.21629653483300051,0.0459030960087874,0.0,-0.44662194152268797,0.4871998886801612,-0.22943684099092734,-0.40465063911436167,-0.08213717966555209,-0.301893048764157,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
15,0.35863124875563657,0.7023167485768573,0.8092197914442012,-0.2938476711047484,-0.18284957921452966,-0.20501888634105125,0.20576977429077964,0.647167779447789,0.0837257107983691,-0.613892833048573,-0.23156681539936683,-0.5078283733050382,-0.2528244956572389,0.17785893241927522,0.05877880216306262,0.0,-0.4550910684831782,0.512470810503846,-0.2023855788077833,-0.4627083633276068,-0.0757342835157914,-0.2926450635238844,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
16,0.35742480272348454,0.7051616550265982,0.8105715732540407,-0.31385185014067823,-0.1635745599484076,-0.2648010009198808,0.22476362734161542,0.6732358906782555,0.06523910888939168,-0.4784109679777162,-0.2023402725548482,-0.43334861200006863,-0.26118730361016607,0.1782602708085802,0.030449202484903678,0.0,-0.3897425936791964,0.4960169907553997,-0.22593091883877717,-0.4451762254066785,-0.07118335986277032,-0.3067991462729402,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
17,0.3582878700584441,0.6957945757083515,0.8047955823516689,-0.2697442786652686,-0.2217058802953545,-0.23758442148897507,0.20721224805418764,0.6562202345773553,0.10869041691927867,-0.4842104598702303,-0.25578749351110946,-0.4936043506181549,-0.23028184503811472,0.15204142112001753,0.03003012234435237,0.0,-0.4421312506358828,0.41488392336204216,-0.2124641343930057,-0.4449321802857747,-0.05207783208811772,-0.28074357929924604,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,2.0
