iteration,ridge_r2,gp_r2,total_r2,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,intercept,matern const,matern_ls,dp const,dot_prod_sigma,noise
0,0.46525475313518805,0.8452902173663986,0.9172705392347867,-0.10825688524276048,-0.28337688762564983,-0.4533119998258643,-0.352125557123548,1.1048505385444776,0.2248895502168815,-0.7705071133948002,-0.2322351918264898,-0.7974018855297712,-0.39460525586517514,0.10897306565060508,0.03406461064422084,0.0,-0.6514523074183589,0.8383524114215397,-0.18313374288216955,-0.6466852587508535,0.014925239537988867,-0.17440937619810462,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
1,0.44830249749914863,0.8499756040806802,0.9172326884949789,0.031338352672885476,-0.32972508965788394,-0.38160646680269134,-0.2775293759396962,1.0682934033133082,0.11259772563384349,-0.5741391872063029,-0.24658501306387767,-0.5864776548416715,-0.1441651373215311,0.08251141714257577,-0.06198219692406858,0.0,-0.4065765537264756,0.41286096241051234,-0.14013625281413766,-0.6191105241839053,-0.055174564143243524,-0.2717518986267558,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
2,0.431460820637555,0.8440290288480833,0.911332811879864,0.047252482773407406,-0.35829332959367066,-0.3241228565317872,-0.2578375191013905,0.9701903371465398,0.042256751213017196,-0.5131114918789699,-0.22439805298348145,-0.4716134881046589,-0.08540485143899221,0.08964932263923904,-0.04733494237716921,0.0,-0.35954748706446854,0.23237816118380078,-0.12072173948716297,-0.5436426719041683,-0.060207584080843674,-0.24480952385287685,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
3,0.41628561191421887,0.8475988465226517,0.911133239132507,0.07888198737130375,-0.2970072925801429,-0.3122973116696031,-0.222878492579384,0.9111575982673545,-0.01281202979708929,-0.46119153979348215,-0.13291929368116778,-0.35172874491205686,-0.135090255969404,0.06759563410246164,-0.013279043272405767,0.0,-0.2862613966123612,0.31407389970038374,-0.12340634839922629,-0.4954312699603866,-0.08766749350919008,-0.20744678109694692,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
4,0.3867887206421756,0.8665945062802307,0.9182533249212563,0.06867463594656993,-0.35398586763912027,-0.23816435477091044,-0.16182226297741115,0.7746286283000401,0.0028693954878130515,-0.3946871359179833,-0.1518422106210676,-0.29587564294402974,-0.08092955813893908,0.11192825722607772,-0.022580803631064482,0.0,-0.24869285292403068,0.26536006344496627,-0.12661888470403315,-0.43315265228728717,-0.04457688945566614,-0.1741766524975384,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
5,0.36108575850298286,0.8750795137700258,0.9203696467534814,0.07970888390401219,-0.22045371086559643,-0.2568186697257714,-0.13340071348113255,0.7023449769819566,0.023003388289780352,-0.3793609077867114,-0.05528117357847988,-0.27067657096666764,-0.12051590510801283,0.13665225649392285,-8.77029385055458e-05,0.0,-0.24450718511129377,0.2180221477132762,-0.13104895351738513,-0.3707720267788383,-0.05297242836661413,-0.1221587254458177,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
6,0.3494198239840285,0.8701819587971635,0.9157037791185083,-0.03277590788255383,-0.1985921124065754,-0.2131975755860298,-0.09345730220509707,0.7000109909360498,0.04762926260907768,-0.32140541197943207,-0.07914369875140245,-0.23059520043600917,-0.0819781596298401,0.1389267548097395,-0.008716630947232582,0.0,-0.22136423866274518,0.2303515810255122,-0.11604752208783632,-0.3712292739164189,-0.07663291283866601,-0.171528461699386,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
7,0.3279598321056313,0.8748059871050443,0.9158984014782823,-0.09807622532831607,-0.23237996468843286,-0.2126522097879989,-0.03251827299528247,0.5960807592066141,0.033807502986830724,-0.27356353319320775,-0.07893758992793705,-0.19453244857097565,-0.08809232114612474,0.06223352854547956,0.02658801444108379,0.0,-0.2154352244587209,0.16620896637288152,-0.11697264690336463,-0.41329594281306886,-0.0124237521200105,-0.07891524087041053,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
8,0.31023253770972403,0.9038964665467825,0.9337587395500848,0.01349137393444952,-0.22713296939540656,-0.1365880692737567,-0.036452367303708454,0.5654706062833789,0.0401774210618494,-0.2722938003583456,-0.07078704861751811,-0.23300810869376032,-0.07488992344481517,0.1509156583810663,0.019944570053605715,0.0,-0.19574314247022845,0.2914773308640549,-0.14681268616785323,-0.3264412491712404,-0.03985743511148036,-0.12561306743860579,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
9,0.2990057551155647,0.8936180167226162,0.9255102229608954,-0.021433750400885236,-0.27066712453594427,-0.18016953926299967,-0.0377003922826232,0.5436206357404639,0.0589845141839694,-0.26650845604187995,-0.06056113493585158,-0.13941812149008018,-0.1016679469269724,0.21004344916800274,0.03816474852227397,0.0,-0.15849111965601337,0.27012352027934505,-0.09785613397111369,-0.2954929936713101,-0.04782453587443304,-0.1409024149290239,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
10,0.2848723880335339,0.8969607141786836,0.9265240746548037,0.050024473560787215,-0.16493206889847603,-0.16174732128603267,0.015328162819245018,0.5347937896274924,0.025082912307778836,-0.22110875297063845,-0.09706881481724786,-0.2168465391392229,-0.08856996720305339,0.18952752491975786,0.009282963341452892,0.0,-0.14136172190287793,0.3312909499686082,-0.07783774108585394,-0.3242154233967552,-0.059171901297681996,-0.1490237952556928,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
11,0.2725576955011182,0.8978314687694537,0.9260653893847074,0.04962753143454045,-0.19677898644390332,-0.09448897469723397,0.031019464498100828,0.5442896130796067,0.011747836194493662,-0.23483088438978406,-0.09932967064050278,-0.19627030834601708,-0.09958476203246829,0.18185689339328967,-0.01457068155239905,0.0,-0.16715422147417663,0.27141388064105426,-0.11969691211809821,-0.24560957780422096,-0.05398001017441276,-0.20003729103980025,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
12,0.26373459441627256,0.9003525979260906,0.927097487042899,0.08180017115782241,-0.1871943054910425,-0.042177163682443494,0.019765913467480665,0.5305809115222365,0.07095420047711451,-0.20670297897398177,-0.03986469716711779,-0.19930223993154592,-0.05984307719800025,0.19615796930964355,-0.015602516353299607,0.0,-0.17129539674784156,0.1953592858426774,-0.1156984182397082,-0.2641262131966618,-0.0511809573029784,-0.1534027049435897,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
13,0.25528132206355847,0.8951332014314491,0.9222489057200963,-0.025347903327331056,-0.14955196731220957,-0.16956124681981166,0.05339256302939451,0.4764807230734296,0.058445434969897424,-0.21831573904389287,-0.021487532754361407,-0.19200213672110467,-0.04732078452614466,0.15435698604124415,0.03151268619057079,0.0,-0.19528486106547027,0.164422177147873,-0.11535388991461067,-0.2464504913990981,-0.019119149211666988,-0.11181698488227763,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
14,0.2562417640966963,0.8965793670776213,0.9235183895610906,-0.002170030980138357,-0.1246723254555419,-0.21304631815070707,0.09727146677815031,0.500432776281802,0.03133157684259372,-0.12049070464095836,-0.06818880200254546,-0.13158475339370365,-0.10589623081864334,0.07477695313126623,0.014738266214239399,0.0,-0.1243552114944652,0.3550895572978337,-0.1022306027249598,-0.2853694558902895,-0.029181044821378257,-0.14497966415782726,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
15,0.2577798325919023,0.9041362544034212,0.9292187644975441,0.02795411320891579,-0.17364249842306484,-0.2506606595618999,0.09266306318326642,0.4722285776052612,0.06300261588256749,-0.17063155547035408,-0.08376190942470868,-0.15761503781383776,-0.048522707360831765,0.11036617076173293,0.02767388317687967,0.0,-0.15723989011383951,0.2005218473788176,-0.12850015920686722,-0.25997887858749213,-0.02200163120406204,-0.07983502680911263,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
16,0.23949317991161567,0.9044017953380478,0.9277456548188799,-0.04987788678583583,-0.133870666901187,-0.16019641234448853,0.05191825145423092,0.4593359848418006,0.06887250911022483,-0.18376552888786626,-0.028779335482200824,-0.17489229656448704,-0.11131047951130474,0.12926379294242882,0.026942839668145358,0.0,-0.15433694014868293,0.2674840520801735,-0.10631908642305511,-0.2053452931956705,-0.023301610486087847,-0.1213023620416948,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
17,0.23432412123961144,0.8951692293168805,0.9202451783269324,-0.053803655809959584,-0.0906341917771912,-0.1749298631335471,0.10389976416321677,0.4628432562424306,0.038060873518768835,-0.19632585644720357,-0.052662065610026856,-0.17922571551089098,-0.11204757463863065,0.13144030363110745,0.06585403824322864,0.0,-0.16236071232802077,0.1992221362474497,-0.1305640645803265,-0.2067626863454477,-0.031491834491203095,-0.13495725808411507,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
18,0.22915254981495314,0.9033414073846386,0.9262403414074988,-0.01811464218336825,-0.08526153654884108,-0.12430153774667108,0.09093081592855642,0.4873699921849088,0.030696049094291366,-0.16547177688021825,-0.09916559367817425,-0.12618978174558965,-0.07241149023690921,0.20891951351407112,-0.013812233829248358,0.0,-0.07350300019721849,0.3061969670157737,-0.10388820659478515,-0.217916017823104,-0.02299475366348135,-0.17086811071465724,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
19,0.22674643548223028,0.9068029772382615,0.9289128225803489,-0.08665221080307801,-0.10591597179981609,-0.0977495707883553,0.08436143281496317,0.5188279692379322,0.04907240081585628,-0.1005687600507127,-0.05240816606509787,-0.0935556454689262,-0.063958516954775,0.1651371902438778,-0.013025905190860618,0.0,-0.09637602013669334,0.26876161215901195,-0.10271513554917865,-0.20331247475301004,-0.06287502411378952,-0.1620685095259983,0.0,0.7071067811865476,150,0.0005477225575051661,0.1,0.1
