iteration,ridge_r2,gp_r2,total_r2,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,intercept,matern const,matern_ls,dp const,dot_prod_sigma,noise
0,0.4792993845234176,0.4702411553541683,0.7241542435387522,-0.23274199986175695,-0.031374023402105725,-0.4443023388591347,-0.20829794977735494,1.3816723898611654,1.1147967172600657,-0.8767453665619711,-0.5018395911546515,-1.1810454603888938,-1.6733120130922652,-0.06554820479496413,0.45075773169391165,0.0,-0.9948641791922572,1.6630647227264006,-0.1085475764632788,-0.49278543057813406,0.1547963234874293,-0.19475606745217366,-0.36416530918743006,0.11832159566199232,220.0,3.1622776601683795e-05,0.04,0.1
1,0.4662389441213326,0.5460566236042862,0.7583141659550181,-0.10478887283373978,-0.1175378310207045,-0.30374381149941054,-0.12069231531838269,1.3643825573737636,1.1489990362964202,-1.1242761501312828,-0.9260970564045775,-0.9476984289214064,-1.3923601769913099,0.3721015736077292,0.3373702136996232,0.0,-0.8778493127562133,1.2926600024797292,-0.14144904049375337,-0.11320694372688869,0.01013701660071594,-0.31517911780421504,-0.40467473669442294,0.11832159566199232,220.0,3.1622776601683795e-05,0.04,0.1
2,0.45383890276565797,0.5546573082336284,0.75717967990992,-0.03599743378292453,-0.12662006515758242,-0.268157212910281,-0.0037771343181461224,1.323371878890921,0.7853171319409583,-1.020494106836728,-1.0962519707475058,-0.946187517701935,-1.3782314109549831,0.4896920562518815,0.4178797718280244,0.0,-0.8841560263874746,1.2722681253892476,-0.11592207398980975,-0.074802494259781,-0.06000605640762543,-0.29107802240012826,-0.4523884834056545,0.11832159566199232,220.0,3.1622776601683795e-05,0.04,0.1
3,0.4424215480933017,0.5622231074779869,0.7563100717661347,-0.1596369120431526,-0.10898639046799179,-0.18585217170914922,0.06273855680036343,1.1974370797268994,0.8421914875221052,-1.0007257800177902,-0.9664983869986372,-0.8528552832015651,-1.3735478585918872,0.4050480208680473,0.35981821127822056,0.0,-0.8798178909932763,1.2098392999176022,-0.12202591744382996,-0.20597036281195313,-0.01047507262010933,-0.4022512962058243,-0.311785556159193,0.11832159566199232,220.0,3.1622776601683795e-05,0.04,0.1
4,0.4320039409973143,0.5818001970978273,0.763172024651835,-0.253144209380873,-0.0727043310103123,-0.22397080978823547,0.12733150148880004,1.139007736384406,0.8062649879143022,-0.999803744443724,-0.9728037943714156,-0.7729278729515773,-1.2141550415574622,0.5024159079003687,0.33073519127448786,0.0,-0.7711636495624081,1.1609163680807053,-0.1297265194518338,-0.25519079977513537,-0.012370495810786997,-0.5121477860099569,-0.2091026025209763,0.11832159566199232,220.0,3.1622776601683795e-05,0.04,0.1
5,0.4271646526874774,0.5838881643086993,0.7618068725202012,-0.22410690552104118,-0.03673801712040633,-0.22952583976180616,0.195509443917081,1.0693672437601665,0.6455754993993371,-0.8876510307896807,-0.9207567618038229,-0.855188772243276,-1.2764106852613522,0.45612298641273524,0.34584468217988873,0.0,-0.8097247370494972,1.1657557878098288,-0.11427477615482662,-0.36963303005621123,-0.01528177310124942,-0.4832666513137802,-0.190546652592249,0.11832159566199232,220.0,3.1622776601683795e-05,0.04,0.1
6,0.4265982057115346,0.5919465399797097,0.7660750432040143,-0.257604564441133,-0.06105637230043781,-0.2532606737759476,0.19566141044124388,1.0913780643192434,0.6264556008031196,-0.8727380811078925,-0.8854915863486165,-0.8189339858822571,-1.4194422521486727,0.5321708771665393,0.2826728600951875,0.0,-0.8681931979276887,1.2691937112296068,-0.11778173829823296,-0.3031759047342993,-0.0505337917828232,-0.4596789759005986,-0.23541379068721302,0.11832159566199232,220.0,3.1622776601683795e-05,0.04,0.1
7,0.4152241657578819,0.5819234825433675,0.7564022171859518,-0.20528005118469167,-0.06626234369940569,-0.18850082741251517,0.19060541250692442,1.0362549333160722,0.7581724070746279,-0.9096730017078981,-0.9614211668737038,-0.7737105360984686,-1.329023031221661,0.5100540580821401,0.3301444145637334,0.0,-0.8412316956311859,1.0968272534555077,-0.12345185813085205,-0.30215404154013814,-0.07466720284366972,-0.46780266708570784,-0.16524382359876327,0.11832159566199232,220.0,3.1622776601683795e-05,0.04,0.1
8,0.4154248946958201,0.5930597127106648,0.7643626304908984,-0.29601504686569846,-0.05318669221525282,-0.15289390727676608,0.20205018764110666,1.0756658519701747,0.6053995434299826,-0.888370993960989,-0.8988277198765421,-0.894540122242025,-1.3049925931629176,0.49784631799733603,0.3350492179739134,0.0,-0.8420370694897232,1.269926992289609,-0.102282904976648,-0.3288504817239511,0.01801588301818131,-0.4418446311205184,-0.1925233934398233,0.11832159566199232,220.0,3.1622776601683795e-05,0.04,0.1
9,0.4178629419162878,0.5892063293580775,0.7626788871665613,-0.24050367738074296,-0.08674667318525522,-0.12234069376325812,0.1563111037537574,1.0579432924388472,0.7517163045906715,-0.9881412687450942,-0.9223723979520441,-0.7964177030074615,-1.2641528103376654,0.45733415523475435,0.2839713248264957,0.0,-0.7911695155242703,1.2846070701827998,-0.10601391381509306,-0.3199728340141402,-0.04063324487839526,-0.4438567816184906,-0.16881975811176192,0.11832159566199232,220.0,3.1622776601683795e-05,0.04,0.1
